日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-08-02,18:00,正偏差,38.8,0.357,不明,否,不动,7.4,未出手,观望,未出手,0.0
2026-08-02,19:00,正偏差,28.0,0.357,不明,否,不动,5.8,未出手,观望,未出手,0.0
2026-08-02,20:00,负偏差,34.7,0.373,不明,否,不动,-4.0,未出手,观望,未出手,0.0
2026-08-02,21:00,负偏差,37.9,0.372,负,否,不动,2.5,未出手,观望,未出手,0.0
2026-08-02,22:00,负偏差,28.0,0.371,不明,否,不动,3.0,未出手,观望,未出手,0.0
2026-08-02,23:00,负偏差,17.9,0.371,不明,否,不动,-1.8,未出手,观望,未出手,0.0
2026-08-03,00:00,负偏差,11.2,0.371,负,否,不动,-7.3,未出手,观望,未出手,0.0
2026-08-03,01:00,负偏差,9.3,0.382,负,否,不动,-4.9,未出手,观望,未出手,0.0
2026-08-03,02:00,负偏差,13.2,0.363,不明,否,不动,-1.0,未出手,观望,未出手,0.0
2026-08-03,03:00,负偏差,14.7,0.363,正,否,不动,2.8,未出手,观望,未出手,0.0
2026-08-03,04:00,负偏差,14.6,0.363,正,否,不动,4.8,未出手,观望,未出手,0.0
2026-08-03,05:00,负偏差,15.6,0.355,正,否,不动,17.9,未出手,观望,未出手,0.0
2026-08-03,06:00,负偏差,15.9,0.345,不明,否,不动,10.1,未出手,观望,未出手,0.0
2026-08-03,07:00,负偏差,21.5,0.343,不明,否,不动,4.3,未出手,观望,未出手,0.0
2026-08-03,08:00,负偏差,20.3,0.353,不明,否,不动,0.4,未出手,观望,未出手,0.0
2026-08-03,09:00,负偏差,22.6,0.344,正,否,不动,-19.5,未出手,观望,未出手,0.0
2026-08-03,10:00,负偏差,19.4,0.356,正,否,不动,-2.1,未出手,观望,未出手,0.0
2026-08-03,11:00,负偏差,22.4,0.356,正,否,不动,34.2,未出手,观望,未出手,0.0
2026-08-03,12:00,负偏差,25.0,0.356,正,否,不动,52.1,未出手,观望,错过 +52.1,0.0
2026-08-03,13:00,负偏差,34.0,0.373,不明,否,不动,22.0,未出手,观望,未出手,0.0
2026-08-03,14:00,负偏差,27.0,0.373,正,否,不动,-8.4,未出手,观望,未出手,0.0
2026-08-03,15:00,负偏差,29.1,0.373,正,否,不动,-14.0,未出手,观望,未出手,0.0
2026-08-03,16:00,负偏差,40.1,0.373,正,否,不动,-128.0,未出手,观望,错过 -128.0,0.0
